ticker,debt_score,roa_score,roe_score,rev_score,eps_score,stability_score
NVDA,5,5,5,3,5,4.6
TPL,5,5,4,3,5,4.4
NVR,5,4,4,3,5,4.2
IDXX,4,4,5,3,5,4.2
LRCX,4,4,5,3,5,4.2
V,4,4,5,3,5,4.2
DECK,5,4,4,3,5,4.2
GWW,4,4,5,3,5,4.2
MPWR,5,4,4,3,5,4.2
FAST,5,4,4,3,5,4.2
ITW,3,4,5,3,5,4.0
AAPL,3,4,5,3,5,4.0
ODFL,5,4,3,3,5,4.0
META,5,4,3,3,5,4.0
LULU,4,4,4,3,5,4.0
LII,3,4,5,3,5,4.0
AMAT,4,4,4,3,5,4.0
KLAC,3,4,5,3,5,4.0
ANET,5,4,3,3,5,4.0
APP,3,4,5,3,5,4.0
GOOGL,5,4,3,3,5,4.0
GOOG,5,4,3,3,5,4.0
EXPD,4,3,4,3,5,3.8
EW,5,3,3,3,5,3.8
ERIE,5,3,3,3,5,3.8
EOG,5,3,3,3,5,3.8
JKHY,5,3,3,3,5,3.8
JNJ,4,3,4,3,5,3.8
DHI,5,3,3,3,5,3.8
CTSH,5,3,3,3,5,3.8
CTAS,4,3,4,3,5,3.8
GRMN,5,3,3,3,5,3.8
MCO,3,3,5,3,5,3.8
MA,2,4,5,3,5,3.8
TER,5,3,3,3,5,3.8
WST,5,3,3,3,5,3.8
WSM,3,3,5,3,5,3.8
ULTA,3,3,5,3,5,3.8
TXN,4,3,4,3,5,3.8
TSCO,3,3,5,3,5,3.8
TROW,5,3,3,3,5,3.8
TJX,3,3,5,3,5,3.8
SNA,5,3,3,3,5,3.8
CAT,3,3,5,3,5,3.8
ROL,4,3,4,3,5,3.8
RMD,5,3,3,3,5,3.8
QCOM,4,3,4,3,5,3.8
PHM,5,3,3,3,5,3.8
NFLX,4,3,4,3,5,3.8
MNST,5,3,3,3,5,3.8
MKTX,5,3,3,3,5,3.8
CPRT,5,3,3,3,5,3.8
ZTS,3,3,5,3,5,3.8
ADBE,4,3,4,3,5,3.8
ABNB,3,3,5,3,5,3.8
PLTR,5,3,2,3,5,3.6
AVGO,4,3,3,3,5,3.6
PSA,4,3,3,3,5,3.6
POOL,3,3,4,3,5,3.6
PNR,4,3,3,3,5,3.6
FDS,4,3,3,3,5,3.6
FFIV,4,3,3,3,5,3.6
REGN,5,3,2,3,5,3.6
PKG,4,3,3,3,5,3.6
PH,4,3,3,3,5,3.6
PG,4,3,3,3,5,3.6
PEP,2,3,5,3,5,3.6
PCAR,4,3,3,3,5,3.6
FSLR,5,3,2,3,5,3.6
ETN,4,3,3,3,5,3.6
A,4,3,3,3,5,3.6
FTNT,2,3,5,3,5,3.6
KO,3,3,4,3,5,3.6
EMR,4,3,3,3,5,3.6
SHW,2,3,5,3,5,3.6
SLB,4,3,3,3,5,3.6
SMCI,4,3,3,3,5,3.6
EBAY,3,3,4,3,5,3.6
EA,4,3,3,3,5,3.6
STLD,4,3,3,3,5,3.6
DVN,4,3,3,3,5,3.6
DRI,2,3,5,3,5,3.6
DOV,4,3,3,3,5,3.6
TEL,4,3,3,3,5,3.6
ADSK,3,3,4,3,5,3.6
ROST,3,3,4,3,5,3.6
GDDY,2,3,5,3,5,3.6
PAYX,3,3,4,3,5,3.6
ALLE,3,3,4,3,5,3.6
LEN,5,3,2,3,5,3.6
KMB,2,3,5,3,5,3.6
AMZN,4,3,3,3,5,3.6
KEYS,4,3,3,3,5,3.6
AOS,4,3,3,3,5,3.6
LLY,2,3,5,3,5,3.6
LMT,2,3,5,3,5,3.6
APA,3,3,4,3,5,3.6
IT,2,3,5,3,5,3.6
